tasks,trial,algorithm,waiting,turnaround,throughput,runtime
500,20,GWO,1146.34,1151.88,0.181,0.206818
500,21,FIFO,1091.89,1097.26,0.186,0.000178
500,21,RoundRobin,1413.63,1419.0,0.186,0.000771
500,21,Priority,1093.56,1098.93,0.186,0.000476
500,21,GWO,1091.89,1097.26,0.186,0.204661
500,22,FIFO,1073.98,1079.46,0.182,0.0001
500,22,RoundRobin,1418.9,1424.39,0.182,0.000779
500,22,Priority,1082.93,1088.41,0.182,0.000472
500,22,GWO,1073.98,1079.46,0.182,0.203728
500,23,FIFO,1136.44,1141.97,0.181,0.000169
500,23,RoundRobin,1478.12,1483.66,0.181,0.000797
500,23,Priority,1128.02,1133.56,0.181,0.000566
500,23,GWO,1136.44,1141.97,0.181,0.202322
500,24,FIFO,1096.45,1101.83,0.186,0.000103
500,24,RoundRobin,1415.81,1421.19,0.186,0.000737
500,24,Priority,1067.03,1072.41,0.186,0.000478
500,24,GWO,1096.45,1101.83,0.186,0.206028
500,25,FIFO,1100.91,1106.39,0.182,0.000105
500,25,RoundRobin,1449.7,1455.18,0.182,0.000851
500,25,Priority,1134.27,1139.75,0.182,0.000518
500,25,GWO,1100.91,1106.39,0.182,0.204471
500,26,FIFO,1063.4,1068.72,0.188,0.000182
500,26,RoundRobin,1371.93,1377.25,0.188,0.000742
500,26,Priority,1074.42,1079.74,0.188,0.000575
500,26,GWO,1063.4,1068.72,0.188,0.205282
500,27,FIFO,1108.74,1114.17,0.184,0.000138
500,27,RoundRobin,1445.5,1450.93,0.184,0.000868
500,27,Priority,1064.26,1069.69,0.184,0.0005
500,27,GWO,1108.74,1114.17,0.184,0.20444
500,28,FIFO,1136.53,1142.04,0.182,0.00013
500,28,RoundRobin,1457.37,1462.87,0.182,0.00074
500,28,Priority,1127.27,1132.77,0.182,0.000485
500,28,GWO,1136.53,1142.04,0.182,0.203327
500,29,FIFO,1125.88,1131.38,0.182,0.000184
500,29,RoundRobin,1491.91,1497.41,0.182,0.000752
500,29,Priority,1121.96,1127.46,0.182,0.000609
500,29,GWO,1125.88,1131.38,0.182,0.206796
